日期,台南市,區別,里別,調種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/8/2,台南市,永康區,成功里,住宅,50,1,0,13,13,0,1,1,2,1,8,3,23.0032483,120.2379305
2017/8/2,台南市,永康區,網寮里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,23.0139035,120.2527152
2017/8/3,台南市,永康區,大橋里,住宅,50,3,3,19,22,0,3,3,6,2,14,4,23.0187454,120.2296358
2017/8/3,台南市,永康區,復華里,住宅,50,1,2,32,34,0,1,1,2,1,3,2,23.0103511,120.2440609
2017/8/4,台南市,永康區,正強里,住宅,50,2,1,12,13,0,2,2,4,1,15,5,23.0294884,120.251994
2017/8/4,台南市,永康區,新樹里,住宅,50,2,9,25,34,1,1,2,4,1,6,3,23.0278443,120.2757905
2017/8/3,台南市,楠西區,東勢里,住宅,100,6,0,36,36,0,11,11,11,3,31,7,23.1795018,120.4904831
2017/8/3,台南市,楠西區,密枝里,住宅,56,2,3,41,44,0,2,2,4,1,5,2,23.2034456,120.5163949
2017/8/4,台南市,六甲區,龜港里,住宅,50,1,0,17,17,0,1,1,2,1,6,3,23.2508669,120.3060706
2017/7/30,台南市,佳里區,禮化里,住宅,50,2,0,40,40,0,2,2,13,3,5,2,23.192832,120.1805789
2017/8/2,台南市,佳里區,禮化里,住宅,52,0,0,25,25,0,0,0,0,0,0,0,23.192832,120.1805789
