SITE_CODE,SURVEY_DATE,SURVEY_AREA_SQM,SURVEY_HABITAT,SURVEY_REASON,SURVEY_PRIMAY_OFFICER,SURVET_SECONDARY_OFFICER,SURVEY_COMMENTS,SURVEY_SPECIES,LARVAL_DENSITY_1,LARVAL_DENSITY_2,LARVAL_DENSITY_3,LARVAL_DENSITY_4,LARVAL_DENSITY_P,LARVAL_DENSITY_AV,LANDING_RATE_SPECIES,LAND_RATE,TREATMENT_DATE,TREATMENT_AREA_SQM,TREATMENT_PRIMARY_OFFICER,TREATMENT_SECONDARY_OFFICER,TREATMENT_COMMENT,TREATMENT_METHOD,TREATMENT_CONTROL_AGENT,Qty (kg),Rate,EVALUATION_DATE,EVALUATION_OFFICER,EVALUATION_MET,SPECIES,SAMPLE_STAGE_1,SAMPLE_STAGE_2,SAMPLE_STAGE_3,SAMPLE_STAGE_4,SAMPLE_STAGE_P,SAMPLE_STAGE_AD,MORTAILTY_LAR,MORTALITY_P,MORTALITY_AD,MORTALITY_TOTAL,RUN_FORM_7
WP22-19,19/07/2019,50000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP22-22,19/07/2019,10000,Salt,Tidal Inundation,KM,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,,,,,,,30. No mosquitoes,1. None,19/07/2019,10000,KM,,5. Breeding mainly in shallow pools,Ground,C. Vectobac 12AS (Lt),1.2000 ,1.2,,,,,,,,,,,,,,,
WP22-28,19/07/2019,25000,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP22-20,19/07/2019,14000,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL44-9,19/07/2019,7800,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL13-2,19/07/2019,800,Brackish,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-17,19/07/2019,400,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-18,19/07/2019,100,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-16,19/07/2019,3100,Brackish,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-15,19/07/2019,8900,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-5,19/07/2019,2100,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-7,19/07/2019,14000,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-9,19/07/2019,13000,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL31-1,19/07/2019,12000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
KAIS-1,18/07/2019,1100,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,1100,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3300 ,3.0,,,,,,,,,,,,,,,
KAIS-2,18/07/2019,3600,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,3600,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),1.0800 ,3.0,,,,,,,,,,,,,,,
KAIS-3,18/07/2019,700,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,700,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.2100 ,3.0,,,,,,,,,,,,,,,
KAIS-4,18/07/2019,4500,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,4500,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),1.3500 ,3.0,,,,,,,,,,,,,,,
LBIS-1,18/07/2019,2000,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,2000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.6000 ,3.0,,,,,,,,,,,,,,,
LBIS-2,18/07/2019,1000,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,1000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3000 ,3.0,,,,,,,,,,,,,,,
LBIS-3,18/07/2019,2000,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,18/07/2019,2000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.6000 ,3.0,,,,,,,,,,,,,,,
EP33-7,18/07/2019,5000,Fresh,Routine,TR,BR,5. Breeding mainly in shallow pools,29. Unidentified,,10,,,,10,30. No mosquitoes,1. None,18/07/2019,5000,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),1.5000 ,3.0,,,,,,,,,,,,,,,
NSIS-10,23/07/2019,2000,Salt,Routine,TR,BR,5. Breeding mainly in shallow pools,1. Ae. Vigilax,,5,,,,5,30. No mosquitoes,1. None,23/07/2019,2000,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.6000 ,3.0,,,,,,,,,,,,,,,
RUIS-1,24/07/2019,25000,Brackish,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-2,24/07/2019,200,Salt,Routine,TR,,5. Breeding mainly in shallow pools,7. Cx. Sitiens,,5,,,,5,30. No mosquitoes,1. None,24/07/2019,200,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.0600 ,3.0,,,,,,,,,,,,,,,
RUIS-3,24/07/2019,200,Salt,Routine,TR,,5. Breeding mainly in shallow pools,7. Cx. Sitiens,,5,,,,5,30. No mosquitoes,1. None,24/07/2019,200,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.0600 ,3.0,,,,,,,,,,,,,,,
RUIS-12,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-5,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-6,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-4,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-8,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-9,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RUIS-10,24/07/2019,100,Dry,Routine,TR,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
MCIS-6,25/07/2019,13000,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,13000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),3.9000 ,3.0,,,,,,,,,,,,,,,
MCIS-7,25/07/2019,100,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
MCIS-8,25/07/2019,1000,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,1000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3000 ,3.0,,,,,,,,,,,,,,,
MCIS-28,25/07/2019,1700,Dry,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,1000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3000 ,3.0,,,,,,,,,,,,,,,
MCIS-27,25/07/2019,1800,Dry,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,1700,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.5100 ,3.0,,,,,,,,,,,,,,,
MCIS-9,25/07/2019,8600,Salt,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,1800,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.5400 ,3.0,,,,,,,,,,,,,,,
MCIS-20,25/07/2019,100,Dry,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
MCIS-10,25/07/2019,5000,Dry,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,100,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.0300 ,3.0,,,,,,,,,,,,,,,
MCIS-12,25/07/2019,1400,Dry,Routine,TR,BR,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,5000,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),1.5000 ,3.0,,,,,,,,,,,,,,,
PTTN33-2,25/07/2019,15000,Brackish,Routine,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,15000,MJ,,1. No breeding,Ground,2. Prolink Pellets (kg),4.5000 ,3.0,,,,,,,,,,,,,,,
PTNN33-6,25/07/2019,2600,Salt,Routine,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,2600,MJ,,1. No breeding,Ground,2. Prolink Pellets (kg),0.7800 ,3.0,,,,,,,,,,,,,,,
PTN33-5,25/07/2019,400,Salt,Routine,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,400,MJ,,1. No breeding,Ground,2. Prolink Pellets (kg),0.1200 ,3.0,,,,,,,,,,,,,,,
R21-4,25/07/2019,2000,Salt,Routine,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,2000,MJ,,1. No breeding,Ground,2. Prolink Pellets (kg),0.6000 ,3.0,,,,,,,,,,,,,,,
R21-3,25/07/2019,1200,Salt,Routine,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,25/07/2019,1200,MJ,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3600 ,3.0,,,,,,,,,,,,,,,
PAIS-1,1/08/2019,20000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
LAIS-1,1/08/2019,20000,Salt,Tidal Inundation,KM,,1. No breeding,29. Unidentified,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
RUIS-5,1/08/2019,15000,Salt,Tidal Inundation,KM,,1. No breeding,29. Unidentified,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
Cl32-5,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
RB14-2,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
RB14-3,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
RB14-4,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
RB14-12,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
RB14-11,1/08/2019,10000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
RB11-1,1/08/2019,1000,Brackish,Routine,MJ,,7. Breeding under mangroves,7. Cx. Sitiens,,,25,25,,50,30. No mosquitoes,1. None,1/08/2019,1000,MJ,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.30,3.0,,,,,,,,,,,,,,,
RB11-3,1/08/2019,6000,Brackish,Routine,MJ,,6. Breeding mainly in open areas,7. Cx. Sitiens,,,25,25,,50,30. No mosquitoes,1. None,1/08/2019,6000,MJ,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),1.80,3.0,,,,,,,,,,,,,,,
W44-1,1/08/2019,5000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
G12-4,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
G12-2,1/08/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
WP33-1,8/08/2019,1000,Salt,Tidal Inundation,TR,KM,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,,,,10,30. No mosquitoes,1. None,8/08/2019,1000,TR,,6. Breeding mainly in open areas,Ground,8. VectoPrime FG (kg),0.30,3.0,,,,,,,,,,,,,,,
WP22-2,8/08/2019,350,Salt,Tidal Inundation,TR,KM,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,,,,10,30. No mosquitoes,1. None,8/08/2019,350,KM,,6. Breeding mainly in open areas,Ground,8. VectoPrime FG (kg),0.11,3.0,,,,,,,,,,,,,,,
WP33-5,6/08/2019,1500,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
WP33-7,6/08/2019,1500,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.00,,,,,,,,,,,,,,,,
WP33-2,6/08/2019,2000,Salt,Tidal Inundation,KM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,5,5,,,10,30. No mosquitoes,1. None,6/08/2019,2000,KM,,5. Breeding mainly in shallow pools,Ground,8. VectoPrime FG (kg),0.60,3.0,,,,,,,,,,,,,,,
WP33-3,6/08/2019,2500,Salt,Tidal Inundation,KM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,5,5,,,10,30. No mosquitoes,1. None,6/08/2019,2500,KM,,5. Breeding mainly in shallow pools,Ground,8. VectoPrime FG (kg),0.75,3.0,,,,,,,,,,,,,,,
WP33-4,6/08/2019,3000,Salt,Tidal Inundation,KM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,5,5,,,10,30. No mosquitoes,1. None,6/08/2019,3000,KM,,5. Breeding mainly in shallow pools,Ground,8. VectoPrime FG (kg),0.90,3.0,,,,,,,,,,,,,,,
WP33-1,6/08/2019,2000,Salt,Tidal Inundation,KM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,5,5,,,10,30. No mosquitoes,1. None,6/08/2019,2000,KM,,5. Breeding mainly in shallow pools,Ground,8. VectoPrime FG (kg),0.60,3.0,,,,,,,,,,,,,,,
